ID Reference	URI
43192	ftp://ftp.bsrn.awi.de/asp/asp0804.dat.gz
43193	ftp://ftp.bsrn.awi.de/asp/asp0805.dat.gz
43194	ftp://ftp.bsrn.awi.de/asp/asp0897.dat.gz
43195	ftp://ftp.bsrn.awi.de/asp/asp0898.dat.gz
43196	ftp://ftp.bsrn.awi.de/asp/asp0899.dat.gz
43197	ftp://ftp.bsrn.awi.de/asp/asp0900.dat.gz
43198	ftp://ftp.bsrn.awi.de/asp/asp0901.dat.gz
43199	ftp://ftp.bsrn.awi.de/asp/asp0902.dat.gz
43200	ftp://ftp.bsrn.awi.de/asp/asp0903.dat.gz
43201	ftp://ftp.bsrn.awi.de/asp/asp0904.dat.gz
43202	ftp://ftp.bsrn.awi.de/asp/asp0905.dat.gz
43203	ftp://ftp.bsrn.awi.de/asp/asp0995.dat.gz
43204	ftp://ftp.bsrn.awi.de/asp/asp0997.dat.gz
43205	ftp://ftp.bsrn.awi.de/asp/asp0998.dat.gz
43206	ftp://ftp.bsrn.awi.de/asp/asp0999.dat.gz
43207	ftp://ftp.bsrn.awi.de/asp/asp1000.dat.gz
43208	ftp://ftp.bsrn.awi.de/asp/asp1001.dat.gz
43209	ftp://ftp.bsrn.awi.de/asp/asp1002.dat.gz
43210	ftp://ftp.bsrn.awi.de/asp/asp1003.dat.gz
43211	ftp://ftp.bsrn.awi.de/asp/asp1004.dat.gz
43212	ftp://ftp.bsrn.awi.de/asp/asp1005.dat.gz
43213	ftp://ftp.bsrn.awi.de/asp/asp1095.dat.gz
43214	ftp://ftp.bsrn.awi.de/asp/asp1097.dat.gz
43215	ftp://ftp.bsrn.awi.de/asp/asp1098.dat.gz
43216	ftp://ftp.bsrn.awi.de/asp/asp1099.dat.gz
43217	ftp://ftp.bsrn.awi.de/asp/asp1100.dat.gz
43218	ftp://ftp.bsrn.awi.de/asp/asp1101.dat.gz
43219	ftp://ftp.bsrn.awi.de/asp/asp1102.dat.gz
43220	ftp://ftp.bsrn.awi.de/asp/asp1103.dat.gz
43221	ftp://ftp.bsrn.awi.de/asp/asp1104.dat.gz
43222	ftp://ftp.bsrn.awi.de/asp/asp1105.dat.gz
43223	ftp://ftp.bsrn.awi.de/asp/asp1195.dat.gz
43224	ftp://ftp.bsrn.awi.de/asp/asp1197.dat.gz
43225	ftp://ftp.bsrn.awi.de/asp/asp1198.dat.gz
43226	ftp://ftp.bsrn.awi.de/asp/asp1199.dat.gz
43227	ftp://ftp.bsrn.awi.de/asp/asp1200.dat.gz
43228	ftp://ftp.bsrn.awi.de/asp/asp1201.dat.gz
43229	ftp://ftp.bsrn.awi.de/asp/asp1202.dat.gz
43230	ftp://ftp.bsrn.awi.de/asp/asp1203.dat.gz
43231	ftp://ftp.bsrn.awi.de/asp/asp1204.dat.gz
43232	ftp://ftp.bsrn.awi.de/asp/asp1205.dat.gz
43233	ftp://ftp.bsrn.awi.de/asp/asp1295.dat.gz
43234	ftp://ftp.bsrn.awi.de/asp/asp1297.dat.gz
43235	ftp://ftp.bsrn.awi.de/asp/asp1298.dat.gz
43236	ftp://ftp.bsrn.awi.de/asp/asp1299.dat.gz
43237	ftp://ftp.bsrn.awi.de/ber/ber0192.dat.gz
43238	ftp://ftp.bsrn.awi.de/ber/ber0292.dat.gz
43239	ftp://ftp.bsrn.awi.de/ber/ber0492.dat.gz
43240	ftp://ftp.bsrn.awi.de/ber/ber0592.dat.gz
